"coverage_mu","coverage_mu_se","width_mu","width_mu_se","failure_rate_mu","coverage_sigma","coverage_sigma_se","width_sigma","width_sigma_se","failure_rate_sigma","lambda_n","coverage_floor","admissible_mu","admissible_sigma","admissible_both","width_objective","selected"
0.994,0.00244213021765835,2.21253060135728,0.0393057254565238,0.001,0.989,0.00329833291224522,0.851937356927134,0.00635799428481153,0,0,0.936491632222952,TRUE,TRUE,TRUE,2.52616835603743,FALSE
0.98,0.00442718872423573,0.592582244235874,0.00279764211637987,0.01,0.976,0.00483983470792134,0.663229250654615,0.00348647549158902,0.008,0.1,0.936491632222952,TRUE,TRUE,TRUE,1.00456608684924,TRUE
0.979,0.00453420334788814,0.587219652371253,0.00292125286052374,0.01,0.975,0.00493710441453288,0.688128603954512,0.00359085271649068,0.01,0.5,0.936491632222952,TRUE,TRUE,TRUE,1.01877130213672,FALSE
0.981,0.00431729081716764,0.604611546885677,0.00298177733137998,0.009,0.977,0.00474035863622153,0.712397469065821,0.00362225798155882,0.011,1,0.936491632222952,TRUE,TRUE,TRUE,1.05187596620739,FALSE
0.986,0.00371537346709587,0.623856541382419,0.00304681079670122,0.007,0.978,0.00463853425124791,0.745553499986358,0.00384755812649512,0.011,2,0.936491632222952,TRUE,TRUE,TRUE,1.09325840955588,FALSE
0.983,0.00408790900094413,0.641953469441587,0.00312123109906244,0.011,0.979,0.00453420334788814,0.773707542917292,0.00394270533791792,0.011,4,0.936491632222952,TRUE,TRUE,TRUE,1.12989237421567,FALSE
0.977,0.00474035863622153,0.656998414933936,0.00315996284702518,0.018,0.982,0.00420428352992517,0.79134508478626,0.00401969690657487,0.015,8,0.936491632222952,TRUE,TRUE,TRUE,1.15599941198822,FALSE
