"n","epsilon","target","mah_width","eff_width","reduction","coverage","coverage_se"
100,1,"mu",0.599854,0.504201,15.9460468714054,0.966,0.005731
100,1,"sigma",0.757885,0.613595,19.0385084808381,0.964,0.005891
