"coverage_mu","coverage_mu_se","width_mu","width_mu_se","failure_rate_mu","coverage_sigma","coverage_sigma_se","width_sigma","width_sigma_se","failure_rate_sigma","R_aux","R_synthetic","lambda_n"
0.979,0.00453420334788814,0.581794833529898,0.00282627622647359,0.005,0.976,0.00483983470792134,0.66825871290331,0.0034904533061533,0.008,50,200,0.217147240951626
0.979,0.00453420334788814,0.582210251931235,0.0028506669692922,0.006,0.976,0.00483983470792134,0.669024593059347,0.00353710329925301,0.005,100,200,0.217147240951626
0.978,0.00463853425124791,0.582468000148522,0.00285070669871586,0.01,0.977,0.00474035863622153,0.669722285195079,0.00354344457567339,0.006,200,200,0.217147240951626
0.981,0.00431729081716764,0.581742348787048,0.00284716659919911,0.005,0.976,0.00483983470792134,0.66903997005823,0.0035324775039705,0.007,400,200,0.217147240951626
0.983,0.00408790900094413,0.581491334908545,0.0028592221673279,0.005,0.974,0.00503229569878401,0.669032077632875,0.00354044670166293,0.005,800,200,0.217147240951626
