"mu_star","epsilon","method","cov_joint","cov_joint_se","cov_mu","cov_mu_se","cov_sigma","cov_sigma_se","width_mu","width_mu_se","width_sigma","width_sigma_se","area","area_se"
2.5,0.5,"Efficient (mu-interest)",0.97,0.017145,0.98,0.014071,1,0,1.36491,0.057946,3.291184,0.087192,3.230369,0.212384
2.5,0.5,"PB-ADI",0.87,0.0338,0.88,0.03266,0.96,0.019695,1.677189,0.142615,1.662122,0.052627,3.428387,0.400131
2.5,1,"Mahalanobis (Repro)",0.97,0.017145,1,0,0.99,0.01,0.967779,0.028003,1.183906,0.027922,0.58165,0.027441
2.5,1,"Efficient (mu-interest)",0.92,0.027266,0.96,0.019695,0.97,0.017145,0.794704,0.022165,2.068948,0.029891,1.042776,0.048242
2.5,1,"PB-ADI",0.9,0.030151,0.93,0.025643,0.96,0.019695,0.677767,0.021304,0.837136,0.020907,0.609146,0.035945
3,0.1,"Mahalanobis (Repro)",0.97,0.017145,1,0,1,0,3.089949,0.052341,4.6463,0.058819,10.752701,0.359924
3,0.1,"Efficient (mu-interest)",0.95,0.021904,0.96,0.019695,0.99,0.01,2.574375,0.090508,4.880502,0.011661,11.708119,0.406319
3,0.1,"PB-ADI",0.19,0.039428,0.55,0.05,0.25,0.043519,7.823211,0.078336,3.936981,0.446342,31.371038,3.555574
3,0.2,"Mahalanobis (Repro)",0.96,0.019695,1,0,1,0,2.456477,0.055489,4.245606,0.081194,5.619912,0.216748
3,0.2,"Efficient (mu-interest)",0.94,0.023868,0.95,0.021904,0.99,0.01,2.295299,0.065047,4.532827,0.0731,9.323663,0.373578
3,0.2,"PB-ADI",0.4,0.049237,0.49,0.050242,0.48,0.050212,7.060241,0.151826,3.571543,0.343797,26.606099,2.578353
3,0.5,"Mahalanobis (Repro)",0.97,0.017145,1,0,1,0,2.175506,0.044899,3.172148,0.076682,2.445756,0.096888
3,0.5,"Efficient (mu-interest)",0.9,0.030151,0.93,0.025643,0.96,0.019695,1.728663,0.051255,3.585934,0.097176,4.259439,0.214077
3,0.5,"PB-ADI",0.73,0.04462,0.73,0.04462,0.85,0.035887,4.471297,0.269883,2.276825,0.135517,12.970752,1.20092
3,1,"Mahalanobis (Repro)",0.97,0.017145,1,0,1,0,1.770106,0.052133,2.081472,0.057745,1.331773,0.067626
3,1,"Efficient (mu-interest)",0.87,0.0338,0.88,0.03266,0.91,0.028762,1.443147,0.053752,2.493138,0.054813,2.162399,0.142877
3,1,"PB-ADI",0.82,0.038612,0.82,0.038612,0.97,0.017145,1.770766,0.134361,1.539132,0.054679,3.373354,0.385458
