"coverage_mu","coverage_mu_se","width_mu","width_mu_se","failure_rate_mu","coverage_sigma","coverage_sigma_se","width_sigma","width_sigma_se","failure_rate_sigma","R_synthetic","rank_cutoff","finite_R_reference","R_aux","lambda_n"
0.984,0.00396787096564392,0.641525930478418,0.00467328253391239,0.003,0.986,0.00371537346709587,0.738688244813978,0.00492963482114444,0.002,50,3,0.96078431372549,400,0.217147240951626
0.979,0.00453420334788814,0.587342276100694,0.0030470367347419,0.006,0.98,0.00442718872423573,0.679219302484232,0.00390263521118033,0.001,100,6,0.95049504950495,400,0.217147240951626
0.981,0.00431729081716764,0.581742348787048,0.00284716659919911,0.005,0.976,0.00483983470792134,0.66903997005823,0.0035324775039705,0.007,200,11,0.950248756218905,400,0.217147240951626
0.975,0.00493710441453288,0.577640173788445,0.00271329380891335,0.012,0.974,0.00503229569878401,0.662394048684923,0.0032553655226692,0.011,400,21,0.950124688279302,400,0.217147240951626
0.975,0.00493710441453288,0.574313234820736,0.00257094281158566,0.014,0.976,0.00483983470792134,0.662361178227641,0.00324213478269347,0.008,800,41,0.950062421972534,400,0.217147240951626
